,Total Land Area (acres),Number of Cows,Product ID,Quantity (liters/kg),Overall Prices,Total Value of products available,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Year of recording data,clusters
0,387.21,92,3,714.67,88.78,63448.4026,49,304,89.54,27220.16,410,74.72,99.37,2019,1
1,58.59,82,7,963.16,89.01,85730.8716,13,429,92.35,39618.15,534,73.75,150.18,2019,1
2,984.43,95,10,564.08,79.42,44799.2336,63,427,77.21,32968.67,137,27.65,33.44,2019,2
3,16.51,58,9,592.76,64.76,38387.1376,7,230,63.47,14598.1,362,88.03,57.12,2019,2
4,987.38,71,5,355.4,75.69,26900.226,30,116,72.41,8399.56,239,65.49,42.61,2019,2
5,537.38,21,5,404.93,79.28,32102.8504,22,309,80.72,24942.48,95,56.64,67.71,2019,2
6,790.82,73,6,884.74,89.7,79361.178,5,107,86.63,9269.41,777,45.72,128.46,2019,1
7,273.2,82,8,214.31,76.41,16375.4271,10,64,74.39,4760.96,150,47.12,184.58,2019,0
8,896.04,79,3,375.57,18.13,6809.0841,88,274,15.27,4183.98,101,20.16,109.57,2019,0
9,23.73,47,8,448.57,91.3,40954.441,11,342,93.05,31823.1,106,40.12,42.98,2019,2
10,679.15,82,2,514.72,56.53,29097.1216,30,173,56.79,9824.67,341,53.01,187.95,2019,2
11,585.42,54,7,188.84,88.87,16782.2108,13,51,89.91,4585.41,137,72.09,147.43,2019,0
12,956.17,11,9,321.71,58.91,18951.9361,11,252,61.99,15621.48,69,51.68,148.23,2019,0
13,762.51,37,3,894.96,65.02,58190.2992,66,814,63.95,52055.3,80,24.48,197.56,2019,1
14,650.28,45,10,822.4,23.08,18980.992,87,366,26.8,9808.8,456,36.65,46.38,2019,0
15,162.24,58,9,184.4,23.97,4420.068,11,18,27.18,489.24,166,58.9,104.62,2019,0
16,492.02,83,5,421.0,73.47,30930.87,30,404,74.63,30150.52,17,47.9,102.95,2019,2
17,492.85,91,1,502.03,18.86,9468.2858,2,41,20.1,824.1,461,96.67,111.41,2019,0
18,846.82,42,8,152.8,61.52,9400.256,9,111,57.76,6411.36,41,61.36,44.74,2019,0
19,87.64,51,6,593.92,85.54,50803.9168,5,74,84.75,6271.5,519,55.6,139.59,2019,2
20,672.52,32,2,30.69,89.8,2755.962,29,22,92.23,2029.06,8,27.1,22.11,2019,0
21,181.15,91,7,89.39,56.76,5073.7764,14,2,54.78,109.56,87,11.95,178.18,2019,0
22,500.03,54,7,701.6,26.49,18585.384,18,679,26.63,18081.77,22,97.04,43.21,2019,0
23,225.07,54,2,821.77,43.29,35574.4233,32,776,47.92,37185.92,45,62.18,168.12,2019,2
24,760.04,98,7,786.8,23.26,18300.968,16,122,22.17,2704.74,664,79.12,97.64,2019,0
25,27.86,78,7,844.86,72.85,61548.051,12,501,68.68,34408.68,343,97.48,25.58,2019,1
